parameter,type,filepath,namelist,nl_var,default,name,function_name
gsharp,um_rose,app/um/rose-app.conf,namelist:run_gwd,gsharp,0.5,,
orog_drag_param,um_rose,app/um/rose-app.conf,namelist:jules_surface,orog_drag_param,0.15,,
r_det,um_rose,app/um/rose-app.conf,namelist:run_convection,r_det,0.8,,
zhloc_depth_fac,um_rose,app/um/rose-app.conf,namelist:run_bl,zhloc_depth_fac,0.4,,
c_r_correl,um_rose,app/um/rose-app.conf,namelist:run_precip,c_r_correl,0.9,,
ent_fac_dp,um_rose,app/um/rose-app.conf,namelist:run_convection,ent_fac_dp,1.13,,
mp_dz_scal,um_rose,app/um/rose-app.conf,namelist:run_precip,mp_dz_scal,2.0,,
u10_max_coare,um_rose,app/um/rose-app.conf,namelist:jules_sea_seaice,u10_max_coare,22.0,,
gwd_frc,um_rose,app/um/rose-app.conf,namelist:run_gwd,gwd_frc,4.0,,
amdet_fac,um_rose,app/um/rose-app.conf,namelist:run_convection,amdet_fac,3.0,,
gwd_fsat,um_rose,app/um/rose-app.conf,namelist:run_gwd,gwd_fsat,0.25,,
ar,um_rose,app/um/rose-app.conf,namelist:run_precip,ar,1.0,,
rho_snow_fresh,um_rose,app/um/rose-app.conf,namelist:jules_snow,rho_snow_fresh,109.0,,
qlmin,um_rose,app/um/rose-app.conf,namelist:run_convection,qlmin,0.0003,,
x1r,um_rose,app/um/rose-app.conf,namelist:run_precip,x1r,0.22,,
dp_corr_strat,um_rose,app/um/rose-app.conf,namelist:run_radiation,dp_corr_strat,10000.0,,
ai,um_rose,app/um/rose-app.conf,namelist:run_precip,ai,0.0257,,
ent_fac_md,um_rose,app/um/rose-app.conf,namelist:run_convection,ent_fac_md,0.9,,
biom_aer_ems_scaling,um_rose,app/um/rose-app.conf,namelist:run_ukca,biom_aer_ems_scaling,2.0,,
ice_width,um_rose,app/um/rose-app.conf,namelist:run_cloud,ice_width,0.02,,
nsigma,um_rose,app/um/rose-app.conf,namelist:run_gwd,nsigma,2.5,,
fbcd,um_rose,app/um/rose-app.conf,namelist:run_gwd,fbcd,4.0,,
two_d_fsd_factor,um_rose,app/um/rose-app.conf,namelist:run_radiation,two_d_fsd_factor,1.5,,
dbsdtbs_turb_0,um_rose,app/um/rose-app.conf,namelist:run_cloud,dbsdtbs_turb_0,0.00015,,
forced_cu_fac,um_rose,app/um/rose-app.conf,namelist:run_cloud,forced_cu_fac,0.5,,
mparwtr,um_rose,app/um/rose-app.conf,namelist:run_convection,mparwtr,0.0015,,
cca_sh_knob,um_rose,app/um/rose-app.conf,namelist:run_convection,cca_sh_knob,0.5,,
